ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
4bf58dd8d48988d19c941735;YES;Education;Friends,Colleagues;Maths;;;;;;;;;;;
4bf58dd8d48988d19b941735;YES;Education;Friends,Colleagues;Sciences;;;;;;;;;;;
4bf58dd8d48988d19f941735;YES;Education;Friends,Colleagues;Technology;;;;;;;;;;;
4bf58dd8d48988d197941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1af941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1b1941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a1941735;YES;Eating out;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a0941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1b2941735;YES;Sports;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a5941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a7941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1aa941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a9941735;YES;Sports,Entertainment;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a3941735;YES;Housing;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1b4941735;YES;Entertainment,Sports;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1bb941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1ba941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1b9941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1b8941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1b5941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1b7941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4e39a9cebd410d7aed40cbc4;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1b6941735;YES;Entertainment,Sports;Friends,Colleagues;Sports;;;;;;;;;;;
4bf58dd8d48988d1ac941735;YES;Entertainment;Friends,Colleagues;YES;;;;;;;;;;;
4bf58dd8d48988d1a2941735;YES;Education;Friends,Colleagues;YES;;;;;;;;;;;
4bf58dd8d48988d1b0941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a8941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1a6941735;YES;Education;Friends,Colleagues;Law;;;;;;;;;;;
4bf58dd8d48988d1b3941735;YES;Education;Friends,Colleagues;Medecine;;;;;;;;;;;
4bf58dd8d48988d141941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1ab941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d1ad941735;YES;Education;Friends,Colleagues;YES;;;;;;;;;;;
4bf58dd8d48988d1ae941735;YES;Education;Friends,Colleagues;;;;;;;;;;;;
52f2ab2ebcbc57f1066b8b3b;YES;Tourism;;;;;;;;;;;;;
