ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM
56aa371be4b08b9a8d5734db;YES;Entertainment;YES;;;;;;;;;;;
4fceea171983d5d06c3e9823;YES;Entertainment,Tourism;YES;;;;;;;;;;;
4bf58dd8d48988d1e1931735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d1e2931735;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d1e4931735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d17c941735;YES;Entertainment,Tourism;YES;;;;;;;;;;;
52e81612bcbc57f1066b79e7;YES;Entertainment;;;;;;;;;;;;
4bf58dd8d48988d18e941735;YES;Entertainment;YES;;;;;;;;;;;
5032792091d4c4b30a586d5c;YES;Entertainment;YES;;;;;;;;;;;
52e81612bcbc57f1066b79ef;YES;Entertainment;YES;;;;;;;;;;;
52e81612bcbc57f1066b79e8;YES;Entertainment;YES;;;;;;;;;;;
56aa371be4b08b9a8d573532;YES;Entertainment;;;;;;;;;;;;
4bf58dd8d48988d1f1931735;YES;Entertainment;YES;;;;;;;;;;;
52e81612bcbc57f1066b79ea;YES;Entertainment;YES;Drive;;;;;;;;;;
4deefb944765f83613cdba6e;YES;Entertainment,Tourism;;;;;;;;;;;;
5744ccdfe4b0c0459246b4bb;YES;Entertainment;YES;;;;;;;;;;;
52e81612bcbc57f1066b79e6;YES;Entertainment;YES;;;;;;;;;;;
5642206c498e4bfca532186c;YES;Entertainment,Tourism;;;;;;;;;;;;
52e81612bcbc57f1066b79eb;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d17f941735;YES;Entertainment;YES;;;;;;;;;;;
56aa371be4b08b9a8d5734de;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d17e941735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d180941735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d181941735;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d18f941735;YES;Entertainment,Tourism;;;;;;;;;;;;
559acbe0498e472f1a53fa23;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d190941735;YES;Entertainment,Tourism;;;;;;;;;;;;
